mart_table|column_name|column_data_type|column_description|dim_measure|measure_origin_column|calculation_formula
mart_neighbourhood_people|amenities_city_1k|float|City-wide average total amenities per 1000 residents|measure|int_neighbourhood__amenity_scores.total_amenities_per_1000|ROUND(AVG(total_amenities_per_1000) OVER (PARTITION BY census_year), 3)
mart_neighbourhood_people|amenities_index|float|Neighbourhood total amenity rate as index vs city average (100 = city avg)|measure|amenities_1k + amenities_city_1k|ROUND(total_amenities_per_1000 / city_avg_amenities_1k * 100, 1)
mart_neighbourhood_people|amenities_per_sqkm|float|Total amenities per km² of land area|measure|int_neighbourhood__amenity_scores.amenities_per_sqkm|direct
mart_neighbourhood_people|amenities_tier|int|Amenity tier (1=best to 5=lowest) via NTILE(5) over total_amenities_per_1000 descending|measure|int_neighbourhood__amenity_scores.total_amenities_per_1000|NTILE(5) OVER (ORDER BY total_amenities_per_1000 DESC)
mart_neighbourhood_people|transit_count|int|Count of transit stops/stations in the neighbourhood|measure|int_neighbourhood__amenity_scores.transit_count|direct
mart_neighbourhood_people|transit_1k|float|Transit stops per 1000 residents|measure|int_neighbourhood__amenity_scores.transit_per_1000|direct
mart_neighbourhood_people|transit_city_1k|float|City-wide average transit stops per 1000 residents|measure|int_neighbourhood__amenity_scores.transit_per_1000|ROUND(AVG(transit_per_1000) OVER (PARTITION BY census_year), 3)
mart_neighbourhood_people|transit_index|float|Neighbourhood transit rate as index vs city average (100 = city avg)|measure|transit_1k + transit_city_1k|ROUND(transit_per_1000 / city_avg_transit_1k * 100, 1)
mart_neighbourhood_people|commute_car|int|Number of workers commuting by car (driver + passenger)|measure|int_neighbourhood__amenity_scores.commute_car|direct
mart_neighbourhood_people|commute_car_driver|int|Number of workers commuting as car drivers|measure|int_neighbourhood__amenity_scores.commute_car_driver|direct
mart_neighbourhood_people|commute_car_passenger|int|Number of workers commuting as car passengers|measure|int_neighbourhood__amenity_scores.commute_car_passenger|direct
mart_neighbourhood_people|commute_transit|int|Number of workers commuting by public transit|measure|int_neighbourhood__amenity_scores.commute_transit|direct
mart_neighbourhood_people|commute_walk|int|Number of workers commuting on foot|measure|int_neighbourhood__amenity_scores.commute_walk|direct
mart_neighbourhood_people|commute_bicycle|int|Number of workers commuting by bicycle|measure|int_neighbourhood__amenity_scores.commute_bicycle|direct
mart_neighbourhood_people|commute_outside_canada|int|Number of workers with workplace outside Canada|measure|int_neighbourhood__amenity_scores.commute_outside_canada|direct
mart_neighbourhood_people|commute_usual_workplace|int|Number of workers with a usual fixed workplace|measure|int_neighbourhood__amenity_scores.commute_usual_workplace|direct
mart_neighbourhood_people|commute_work_from_home|int|Number of workers who work from home|measure|int_neighbourhood__amenity_scores.commute_work_from_home|direct
mart_neighbourhood_people|commute_no_fixed_address|int|Number of workers with no fixed work address|measure|int_neighbourhood__amenity_scores.commute_no_fixed_address|direct
mart_neighbourhood_people|commute_other|int|Number of workers using other commute modes|measure|int_neighbourhood__amenity_scores.commute_other|direct
mart_neighbourhood_people|car_dependency_pct|float|% of workers who depend on a car as primary mode|measure|int_neighbourhood__amenity_scores.car_dependency_pct|direct
mart_neighbourhood_people|commute_car_pct|float|% of workers commuting by car|measure|int_neighbourhood__amenity_scores.commute_car|ROUND(commute_car / NULLIF(car+transit+walk+bicycle+other, 0) * 100, 2)
mart_neighbourhood_people|commute_transit_pct|float|% of workers commuting by transit|measure|int_neighbourhood__amenity_scores.commute_transit|ROUND(commute_transit / NULLIF(car+transit+walk+bicycle+other, 0) * 100, 2)
mart_neighbourhood_people|commute_active_pct|float|% of workers commuting by active modes (walk + bicycle)|measure|int_neighbourhood__amenity_scores.commute_walk + commute_bicycle|ROUND((commute_walk + commute_bicycle) / NULLIF(car+transit+walk+bicycle+other, 0) * 100, 2)
mart_neighbourhood_people|commute_under_15min|int|Number of workers with commute under 15 minutes|measure|int_neighbourhood__amenity_scores.commute_under_15min|direct
mart_neighbourhood_people|commute_15_29min|int|Number of workers with commute 15-29 minutes|measure|int_neighbourhood__amenity_scores.commute_15_29min|direct
mart_neighbourhood_people|commute_30_44min|int|Number of workers with commute 30-44 minutes|measure|int_neighbourhood__amenity_scores.commute_30_44min|direct
mart_neighbourhood_people|commute_45_59min|int|Number of workers with commute 45-59 minutes|measure|int_neighbourhood__amenity_scores.commute_45_59min|direct
mart_neighbourhood_people|commute_above_60min|int|Number of workers with commute 60+ minutes|measure|int_neighbourhood__amenity_scores.commute_60min_plus|direct
mart_neighbourhood_people|commute_long_pct|float|% of workers with commute >= 45 minutes (long commute)|measure|commute_45_59min + commute_above_60min|ROUND((commute_45_59min + commute_60min_plus) / NULLIF(total_workers, 0) * 100, 2)
mart_neighbourhood_profile|neighbourhood_id|int|Neighbourhood identifier (FK)|dimension|int_neighbourhood__profile_flat.neighbourhood_id|direct
mart_neighbourhood_profile|census_year|int|Census reference year (2021 only for current data)|dimension|int_neighbourhood__profile_flat.census_year|direct
mart_neighbourhood_profile|profile_imm_immigrant|int|Count of immigrants in the neighbourhood|measure|raw_toronto.fact_census_extended (immigration category)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_imm_immigrant_pct|float|% of population who are immigrants|measure|profile_imm_immigrant / neighbourhood_total|profile_imm_immigrant / neighbourhood_total * 100
mart_neighbourhood_profile|profile_imm_nonimmigrant|int|Count of non-immigrants|measure|raw_toronto.fact_census_extended (immigration category)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_imm_nonimmigrant_pct|float|% of population who are non-immigrants|measure|profile_imm_nonimmigrant / neighbourhood_total|profile_imm_nonimmigrant / neighbourhood_total * 100
mart_neighbourhood_profile|profile_imm_nonperm|int|Count of non-permanent residents|measure|raw_toronto.fact_census_extended (immigration category)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_imm_nonperm_pct|float|% of population who are non-permanent residents|measure|profile_imm_nonperm / neighbourhood_total|profile_imm_nonperm / neighbourhood_total * 100
mart_neighbourhood_profile|profile_lang_home_official|int|Count using official language (English or French) at home|measure|raw_toronto.fact_census_extended (language category)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_lang_home_official_pct|float|% using official language at home|measure|profile_lang_home_official / neighbourhood_total|profile_lang_home_official / neighbourhood_total * 100
mart_neighbourhood_profile|profile_lang_home_nonofficial|int|Count using non-official language at home|measure|raw_toronto.fact_census_extended (language category)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_lang_home_nonofficial_pct|float|% using non-official language at home|measure|profile_lang_home_nonofficial / neighbourhood_total|profile_lang_home_nonofficial / neighbourhood_total * 100
mart_neighbourhood_profile|profile_offlang_english_only|int|Count with English as only official language|measure|raw_toronto.fact_census_extended (official language category)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_offlang_english_only_pct|float|% with English as only official language|measure|profile_offlang_english_only / neighbourhood_total|profile_offlang_english_only / neighbourhood_total * 100
mart_neighbourhood_profile|profile_offlang_french_only|int|Count with French as only official language|measure|raw_toronto.fact_census_extended (official language category)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_offlang_french_only_pct|float|% with French as only official language|measure|profile_offlang_french_only / neighbourhood_total|profile_offlang_french_only / neighbourhood_total * 100
mart_neighbourhood_profile|profile_offlang_both|int|Count with both English and French as official languages|measure|raw_toronto.fact_census_extended (official language category)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_offlang_both_pct|float|% with both official languages|measure|profile_offlang_both / neighbourhood_total|profile_offlang_both / neighbourhood_total * 100
mart_neighbourhood_profile|profile_offlang_neither|int|Count with neither English nor French as official language|measure|raw_toronto.fact_census_extended (official language category)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_offlang_neither_pct|float|% with neither official language|measure|profile_offlang_neither / neighbourhood_total|profile_offlang_neither / neighbourhood_total * 100
mart_neighbourhood_profile|profile_citizen_canadian|int|Count of Canadian citizens|measure|raw_toronto.fact_census_extended (citizenship category)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_citizen_canadian_pct|float|% who are Canadian citizens|measure|profile_citizen_canadian / neighbourhood_total|profile_citizen_canadian / neighbourhood_total * 100
mart_neighbourhood_profile|profile_citizen_not|int|Count of non-citizens|measure|raw_toronto.fact_census_extended (citizenship category)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_citizen_not_pct|float|% who are non-citizens|measure|profile_citizen_not / neighbourhood_total|profile_citizen_not / neighbourhood_total * 100
mart_neighbourhood_profile|profile_gen_1st|int|Count of 1st generation residents (born outside Canada)|measure|raw_toronto.fact_census_extended (generation status)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_gen_1st_pct|float|% who are 1st generation|measure|profile_gen_1st / neighbourhood_total|profile_gen_1st / neighbourhood_total * 100
mart_neighbourhood_profile|profile_gen_2nd|int|Count of 2nd generation residents (Canadian-born with at least one immigrant parent)|measure|raw_toronto.fact_census_extended (generation status)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_gen_2nd_pct|float|% who are 2nd generation|measure|profile_gen_2nd / neighbourhood_total|profile_gen_2nd / neighbourhood_total * 100
mart_neighbourhood_profile|profile_gen_3rd_plus|int|Count of 3rd generation or higher residents|measure|raw_toronto.fact_census_extended (generation status)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_gen_3rd_plus_pct|float|% who are 3rd generation or higher|measure|profile_gen_3rd_plus / neighbourhood_total|profile_gen_3rd_plus / neighbourhood_total * 100
mart_neighbourhood_profile|profile_admission_economic|int|Count of immigrants admitted under economic class|measure|raw_toronto.fact_census_extended (admission category)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_admission_economic_pct|float|% of immigrants admitted under economic class|measure|profile_admission_economic / profile_imm_immigrant|profile_admission_economic / profile_imm_immigrant * 100
mart_neighbourhood_profile|profile_admission_family|int|Count of immigrants admitted under family reunification|measure|raw_toronto.fact_census_extended (admission category)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_admission_family_pct|float|% of immigrants admitted under family reunification|measure|profile_admission_family / profile_imm_immigrant|profile_admission_family / profile_imm_immigrant * 100
mart_neighbourhood_profile|profile_admission_refugee|int|Count of immigrants admitted as refugees|measure|raw_toronto.fact_census_extended (admission category)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_admission_refugee_pct|float|% of immigrants admitted as refugees|measure|profile_admission_refugee / profile_imm_immigrant|profile_admission_refugee / profile_imm_immigrant * 100
mart_neighbourhood_profile|profile_admission_other|int|Count of immigrants admitted under other categories|measure|raw_toronto.fact_census_extended (admission category)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_admission_other_pct|float|% of immigrants admitted under other categories|measure|profile_admission_other / profile_imm_immigrant|profile_admission_other / profile_imm_immigrant * 100
mart_neighbourhood_profile|profile_pob_africa|int|Count of residents born in Africa|measure|raw_toronto.fact_census_extended (place of birth)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_pob_africa_pct|float|% born in Africa|measure|profile_pob_africa / neighbourhood_total|profile_pob_africa / neighbourhood_total * 100
mart_neighbourhood_profile|profile_pob_americas|int|Count of residents born in the Americas (excl. Canada)|measure|raw_toronto.fact_census_extended (place of birth)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_pob_americas_pct|float|% born in the Americas|measure|profile_pob_americas / neighbourhood_total|profile_pob_americas / neighbourhood_total * 100
mart_neighbourhood_profile|profile_pob_asia|int|Count of residents born in Asia|measure|raw_toronto.fact_census_extended (place of birth)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_pob_asia_pct|float|% born in Asia|measure|profile_pob_asia / neighbourhood_total|profile_pob_asia / neighbourhood_total * 100
mart_neighbourhood_profile|profile_pob_europe|int|Count of residents born in Europe|measure|raw_toronto.fact_census_extended (place of birth)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_pob_europe_pct|float|% born in Europe|measure|profile_pob_europe / neighbourhood_total|profile_pob_europe / neighbourhood_total * 100
mart_neighbourhood_profile|profile_pob_oceania|int|Count of residents born in Oceania|measure|raw_toronto.fact_census_extended (place of birth)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_pob_oceania_pct|float|% born in Oceania|measure|profile_pob_oceania / neighbourhood_total|profile_pob_oceania / neighbourhood_total * 100
mart_neighbourhood_profile|profile_pob_recent_africa|int|Count of recent immigrants (2016-2021) born in Africa|measure|raw_toronto.fact_census_extended (recent immigrant place of birth)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_pob_recent_africa_pct|float|% of recent immigrants born in Africa|measure|profile_pob_recent_africa / profile_imm_immigrant|profile_pob_recent_africa / profile_imm_immigrant * 100
mart_neighbourhood_profile|profile_pob_recent_americas|int|Count of recent immigrants born in the Americas|measure|raw_toronto.fact_census_extended (recent immigrant place of birth)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_pob_recent_americas_pct|float|% of recent immigrants born in the Americas|measure|profile_pob_recent_americas / profile_imm_immigrant|profile_pob_recent_americas / profile_imm_immigrant * 100
mart_neighbourhood_profile|profile_pob_recent_asia|int|Count of recent immigrants born in Asia|measure|raw_toronto.fact_census_extended (recent immigrant place of birth)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_pob_recent_asia_pct|float|% of recent immigrants born in Asia|measure|profile_pob_recent_asia / profile_imm_immigrant|profile_pob_recent_asia / profile_imm_immigrant * 100
mart_neighbourhood_profile|profile_pob_recent_europe|int|Count of recent immigrants born in Europe|measure|raw_toronto.fact_census_extended (recent immigrant place of birth)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_pob_recent_europe_pct|float|% of recent immigrants born in Europe|measure|profile_pob_recent_europe / profile_imm_immigrant|profile_pob_recent_europe / profile_imm_immigrant * 100
mart_neighbourhood_profile|profile_pob_recent_oceania|int|Count of recent immigrants born in Oceania|measure|raw_toronto.fact_census_extended (recent immigrant place of birth)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_pob_recent_oceania_pct|float|% of recent immigrants born in Oceania|measure|profile_pob_recent_oceania / profile_imm_immigrant|profile_pob_recent_oceania / profile_imm_immigrant * 100
mart_neighbourhood_profile|profile_indigenous_yes|int|Count of residents identifying as Indigenous|measure|raw_toronto.fact_census_extended (indigenous identity)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_indigenous_yes_pct|float|% identifying as Indigenous|measure|profile_indigenous_yes / neighbourhood_total|profile_indigenous_yes / neighbourhood_total * 100
mart_neighbourhood_profile|profile_indigenous_no|int|Count of residents not identifying as Indigenous|measure|raw_toronto.fact_census_extended (indigenous identity)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_indigenous_no_pct|float|% not identifying as Indigenous|measure|profile_indigenous_no / neighbourhood_total|profile_indigenous_no / neighbourhood_total * 100
mart_neighbourhood_profile|profile_edu_lvl_nocert|int|Count of population with no educational certificate or diploma|measure|raw_toronto.fact_census_extended (education level)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_edu_lvl_nocert_pct|float|% with no educational certificate|measure|profile_edu_lvl_nocert / neighbourhood_total|profile_edu_lvl_nocert / neighbourhood_total * 100
mart_neighbourhood_profile|profile_edu_lvl_highschool|int|Count of population with high school diploma as highest education|measure|raw_toronto.fact_census_extended (education level)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_edu_lvl_highschool_pct|float|% with high school diploma as highest education|measure|profile_edu_lvl_highschool / neighbourhood_total|profile_edu_lvl_highschool / neighbourhood_total * 100
mart_neighbourhood_profile|profile_edu_lvl_postsec|int|Count of population with post-secondary certificate/diploma (non-bachelor)|measure|raw_toronto.fact_census_extended (education level)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_edu_lvl_postsec_pct|float|% with post-secondary certificate (non-bachelor)|measure|profile_edu_lvl_postsec / neighbourhood_total|profile_edu_lvl_postsec / neighbourhood_total * 100
mart_neighbourhood_profile|profile_fos_business|int|Count of post-secondary graduates in business/management/public admin fields|measure|raw_toronto.fact_census_extended (field of study)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_fos_business_pct|float|% of post-secondary graduates in business fields|measure|profile_fos_business / postsec_total|profile_fos_business / postsec_total * 100
mart_neighbourhood_profile|profile_fos_social_science|int|Count of post-secondary graduates in social sciences/law/education|measure|raw_toronto.fact_census_extended (field of study)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_fos_social_science_pct|float|% of post-secondary graduates in social sciences|measure|profile_fos_social_science / postsec_total|profile_fos_social_science / postsec_total * 100
mart_neighbourhood_profile|profile_fos_engineering|int|Count of post-secondary graduates in engineering/architecture/STEM|measure|raw_toronto.fact_census_extended (field of study)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_fos_engineering_pct|float|% of post-secondary graduates in engineering/STEM|measure|profile_fos_engineering / postsec_total|profile_fos_engineering / postsec_total * 100
mart_neighbourhood_profile|profile_fos_health|int|Count of post-secondary graduates in health sciences|measure|raw_toronto.fact_census_extended (field of study)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_fos_health_pct|float|% of post-secondary graduates in health sciences|measure|profile_fos_health / postsec_total|profile_fos_health / postsec_total * 100
mart_neighbourhood_profile|profile_fos_humanities|int|Count of post-secondary graduates in humanities/arts|measure|raw_toronto.fact_census_extended (field of study)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_fos_humanities_pct|float|% of post-secondary graduates in humanities/arts|measure|profile_fos_humanities / postsec_total|profile_fos_humanities / postsec_total * 100
mart_neighbourhood_profile|profile_const_pre1960|int|Count of dwellings built before 1960|measure|raw_toronto.fact_census_extended (construction period)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_const_pre1960_pct|float|% of dwellings built before 1960|measure|profile_const_pre1960 / total_dwellings|profile_const_pre1960 / total_dwellings * 100
mart_neighbourhood_profile|profile_const_1961_1980|int|Count of dwellings built 1961-1980|measure|raw_toronto.fact_census_extended (construction period)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_const_1961_1980_pct|float|% of dwellings built 1961-1980|measure|profile_const_1961_1980 / total_dwellings|profile_const_1961_1980 / total_dwellings * 100
mart_neighbourhood_profile|profile_const_1981_1990|int|Count of dwellings built 1981-1990|measure|raw_toronto.fact_census_extended (construction period)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_const_1981_1990_pct|float|% of dwellings built 1981-1990|measure|profile_const_1981_1990 / total_dwellings|profile_const_1981_1990 / total_dwellings * 100
mart_neighbourhood_profile|profile_const_1991_2000|int|Count of dwellings built 1991-2000|measure|raw_toronto.fact_census_extended (construction period)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_const_1991_2000_pct|float|% of dwellings built 1991-2000|measure|profile_const_1991_2000 / total_dwellings|profile_const_1991_2000 / total_dwellings * 100
mart_neighbourhood_profile|profile_const_post2000|int|Count of dwellings built after 2000|measure|raw_toronto.fact_census_extended (construction period)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_const_post2000_pct|float|% of dwellings built after 2000|measure|profile_const_post2000 / total_dwellings|profile_const_post2000 / total_dwellings * 100
mart_neighbourhood_profile|profile_suit_suitable|int|Count of dwellings deemed suitable (not overcrowded)|measure|raw_toronto.fact_census_extended (housing suitability)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_suit_suitable_pct|float|% of dwellings deemed suitable|measure|profile_suit_suitable / total_dwellings|profile_suit_suitable / total_dwellings * 100
mart_neighbourhood_profile|profile_suit_not_suitable|int|Count of dwellings deemed not suitable (overcrowded)|measure|raw_toronto.fact_census_extended (housing suitability)|direct from stg_toronto__profiles
mart_neighbourhood_profile|profile_suit_not_suitable_pct|float|% of dwellings deemed not suitable|measure|profile_suit_not_suitable / total_dwellings|profile_suit_not_suitable / total_dwellings * 100
